DATE,DEPTH,TN
2013-08-28,1000,18.77
2013-08-28,1500,20.38
2013-08-28,2000,16.47
2013-08-28,2500,18.26
2013-09-24,100,18.41
2013-09-24,500,18.78
2013-09-24,1000,17.36
2013-09-24,1500,16.25
2013-09-24,2000,14.49
2013-09-24,2500,17.13
2013-10-01,100,18.88
2013-10-01,500,18.67
2013-10-01,1000,16.63
2013-10-01,1500,21.41
2013-10-01,2000,15.39
2013-10-01,2500,23.15
2013-11-05,100,20.42
2013-11-05,500,19.33
2013-11-05,1000,18.81
2013-11-05,1500,16.8
2013-11-05,2000,16.11
2013-11-05,2500,15.76
2013-12-03,100,17.3
2013-12-03,500,16.68
2013-12-03,1000,15.87
2013-12-03,1500,17.86
2013-12-03,2000,21.52
2013-12-03,2500,21.76
2014-02-25,100,37.5
2014-02-25,500,32.43
2014-02-25,1000,29.2
2014-02-25,1500,37.04
2014-02-25,2000,37.1
2014-02-25,2500,32.42
2014-03-05,100,28.39
2014-03-05,500,29.79
2014-03-05,1000,30.2
2014-03-05,1500,29.78
2014-03-05,2000,33.22
2014-03-05,2500,31.43
2014-04-15,100,27.64
2014-04-15,500,24.53
2014-04-15,1000,25.6
2014-04-15,1500,26.46
2014-04-15,2000,23.48
2014-04-15,2500,20.17
2014-05-07,100,24.33
2014-05-07,500,27.09
2014-05-07,1000,27.05
2014-05-07,1500,20.05
2014-05-07,2000,30.03
2014-05-07,2500,19.42
2014-06-21,100,27.29
2014-06-21,500,31.49
2014-06-21,1000,21.39
2014-06-21,1500,22.32
2014-06-21,2000,20.53
2014-06-21,2500,24.36
2014-07-08,100,22.3
2014-07-08,500,19.81
2014-07-08,1000,19.43
2014-07-08,1500,18.94
2014-07-08,2000,17.57
2014-07-08,2500,19.96
2014-08-28,100,21.38
2014-08-28,500,20.17
2014-08-28,1000,15.91
2014-08-28,1500,21.15
2014-08-28,2000,18.46
2014-08-28,2500,19.94
2014-09-23,100,20.07
2014-09-23,500,18.76
2014-09-23,1000,21.21
2014-09-23,1500,19.52
2014-09-23,2000,27.42
