DATE,DEPTH,NO2
01/09/1997,300,
01/09/1997,1500,0.06
01/09/1997,2500,0.16
01/09/1997,100,0.07
01/09/1997,200,
01/09/1997,2000,0.12
01/09/1997,1000,0.04
08/09/1997,500,0.06
08/09/1997,2000,0.15
08/09/1997,200,
08/09/1997,1500,0.06
08/09/1997,1500,0.23
08/09/1997,100,0.07
08/09/1997,1000,0.04
08/09/1997,300,
18/09/1997,500,0.05
18/09/1997,200,
18/09/1997,100,0.06
18/09/1997,1000,0.15
18/09/1997,2500,
18/09/1997,1500,0.13
18/09/1997,300,
18/09/1997,2000,0.19
25/09/1997,2400,0.4
25/09/1997,1400,0.29
25/09/1997,900,0.09
25/09/1997,400,0.03
25/09/1997,300,
25/09/1997,100,0.04
25/09/1997,200,
25/09/1997,1900,0.34
22/10/1997,2500,0.88
22/10/1997,1500,0.2
22/10/1997,200,
22/10/1997,100,0.06
22/10/1997,300,
22/10/1997,1000,0.07
22/10/1997,2000,0.7
22/10/1997,500,0.07
13/11/1997,500,0.18
13/11/1997,200,
13/11/1997,2000,0.46
13/11/1997,1000,0.22
13/11/1997,300,
13/11/1997,1500,0.36
13/11/1997,2500,0.6
13/11/1997,100,0.18
10/12/1997,200,
10/12/1997,1000,0.41
10/12/1997,2000,0.52
10/12/1997,1500,0.44
10/12/1997,100,0.39
10/12/1997,300,
10/12/1997,2500,0.74
10/12/1997,500,0.4
14/01/1998,2000,0.32
14/01/1998,100,0.82
14/01/1998,1500,0.38
14/01/1998,1000,0.74
14/01/1998,2500,0.35
14/01/1998,500,0.81
14/01/1998,200,
14/01/1998,300,
12/02/1998,100,0.77
12/02/1998,2500,0.27
12/02/1998,2000,0.32
12/02/1998,1500,0.44
12/02/1998,300,
12/02/1998,200,
12/02/1998,500,0.77
12/02/1998,1000,0.53
25/02/1998,2500,0.33
25/02/1998,1000,0.32
25/02/1998,100,0.27
25/02/1998,2000,0.35
25/02/1998,500,0.26
25/02/1998,200,
25/02/1998,1500,0.31
25/02/1998,300,
11/03/1998,2500,0.05
11/03/1998,200,
11/03/1998,2000,0.05
11/03/1998,300,
11/03/1998,1000,0.01
11/03/1998,1500,0.01
11/03/1998,500,0.01
11/03/1998,100,0.01
26/03/1998,200,
26/03/1998,1000,0.01
26/03/1998,500,0.01
26/03/1998,100,0.01
26/03/1998,2500,0.07
26/03/1998,300,
26/03/1998,1500,0.02
26/03/1998,2000,0.04
01/04/1998,2000,0.01
01/04/1998,100,0.01
01/04/1998,2500,0.12
01/04/1998,500,0
01/04/1998,1000,0
01/04/1998,1500,0
01/04/1998,200,
01/04/1998,300,
22/04/1998,300,
22/04/1998,2000,0.06
22/04/1998,1000,0.05
22/04/1998,200,
22/04/1998,2500,0.13
22/04/1998,100,0.02
22/04/1998,1500,0.05
22/04/1998,500,0.02
11/05/1998,100,0.02
11/05/1998,200,
11/05/1998,1400,0.08
11/05/1998,400,0.03
11/05/1998,900,0.01
11/05/1998,300,
11/05/1998,2400,0.21
11/05/1998,1900,0.14
10/06/1998,300,
10/06/1998,2500,0.6
10/06/1998,1000,0.02
10/06/1998,1500,0.1
10/06/1998,100,0.02
10/06/1998,2000,0.27
10/06/1998,500,0.02
10/06/1998,200,
25/06/1998,2000,0.39
25/06/1998,100,0
25/06/1998,500,0
25/06/1998,1000,0.01
25/06/1998,300,
25/06/1998,2500,0.34
25/06/1998,1500,0.27
25/06/1998,200,
02/07/1998,200,
02/07/1998,500,0.01
02/07/1998,2500,0.26
02/07/1998,300,
02/07/1998,100,0
02/07/1998,1000,0
02/07/1998,1500,0.01
02/07/1998,2000,0.2
08/07/1998,2500,0.4
08/07/1998,100,0.02
08/07/1998,300,
08/07/1998,500,0.01
08/07/1998,2000,0.04
08/07/1998,1000,0.01
08/07/1998,1500,0.02
08/07/1998,200,
15/07/1998,100,0.01
15/07/1998,300,
15/07/1998,200,
15/07/1998,500,0.01
15/07/1998,1500,0.01
15/07/1998,2000,0.05
15/07/1998,1000,0.01
15/07/1998,2500,0.12
22/07/1998,200,
