DATE,DEPTH,TP
29/01/1968,500,1.52
29/01/1968,1000,0.87
29/01/1968,2600,0.61
29/01/1968,100,0.81
29/01/1968,1500,0.68
29/01/1968,2000,0.48
20/02/1968,2000,1
20/02/1968,100,1.26
20/02/1968,500,0.9
20/02/1968,1000,1.03
20/02/1968,1500,1.13
20/02/1968,2600,1.07
18/03/1968,1500,1.65
18/03/1968,2000,1.81
18/03/1968,100,1.9
18/03/1968,1000,1.52
18/03/1968,500,1.61
18/03/1968,2600,1.45
02/04/1968,2600,1.49
02/04/1968,100,
02/04/1968,500,1.9
02/04/1968,2000,1.81
02/04/1968,1000,0.94
02/04/1968,1500,0.9
06/05/1968,2600,0.65
06/05/1968,500,0.61
06/05/1968,1500,0.36
06/05/1968,1000,0.61
06/05/1968,2000,0.61
06/05/1968,100,0.13
12/06/1968,100,1.1
12/06/1968,1500,0.48
12/06/1968,500,0.32
12/06/1968,2000,0.58
12/06/1968,2600,0.9
12/06/1968,1000,0.32
03/07/1968,1500,0.58
03/07/1968,2000,0.81
03/07/1968,2600,0.68
03/07/1968,1000,0.45
03/07/1968,100,0.45
03/07/1968,500,0.58
19/08/1968,100,0.55
19/08/1968,1500,0.55
19/08/1968,500,0.55
19/08/1968,1000,0.42
19/08/1968,2600,0.94
19/08/1968,2000,0.74
16/09/1968,500,0.71
16/09/1968,1500,0.61
16/09/1968,2600,3.2
16/09/1968,100,0.58
16/09/1968,2000,0.68
16/09/1968,1000,0.61
21/10/1968,2600,2.58
21/10/1968,1500,1.19
21/10/1968,1000,1.16
21/10/1968,100,1.84
21/10/1968,500,1.58
21/10/1968,2000,0.84
18/11/1968,2600,1.65
18/11/1968,1000,1.1
18/11/1968,100,1.74
18/11/1968,1500,1.19
18/11/1968,500,0.94
18/11/1968,2000,1.84
19/12/1968,500,1.03
19/12/1968,100,1.03
19/12/1968,1500,1.23
19/12/1968,2000,1.45
19/12/1968,1000,1.23
19/12/1968,2600,2.81
14/01/1969,1000,1.26
14/01/1969,1500,1.03
14/01/1969,500,1.23
14/01/1969,100,1.1
14/01/1969,2600,1.19
14/01/1969,2000,0.97
25/02/1969,1000,0.81
25/02/1969,1500,0.87
25/02/1969,2000,0.81
25/02/1969,100,0.77
25/02/1969,2600,1.36
25/02/1969,500,1.26
24/03/1969,100,0.68
24/03/1969,1500,1
24/03/1969,2000,0.84
24/03/1969,500,0.81
24/03/1969,1000,0.74
24/03/1969,2600,1
22/04/1969,100,0.06
22/04/1969,1500,0.29
22/04/1969,2000,0.81
22/04/1969,500,0.36
22/04/1969,2600,0.81
22/04/1969,1000,0
13/05/1969,500,0.26
13/05/1969,100,0.84
13/05/1969,1500,0.39
13/05/1969,2600,1.03
13/05/1969,1000,0.39
13/05/1969,2000,0.39
18/06/1969,1000,0.48
18/06/1969,500,0.48
18/06/1969,2000,1.16
18/06/1969,2600,2.71
18/06/1969,100,0.36
18/06/1969,1500,0.55
23/07/1969,2600,0.9
23/07/1969,2000,0.68
23/07/1969,100,0.45
23/07/1969,500,0.45
23/07/1969,1000,0.65
23/07/1969,1500,0.68
15/08/1969,1000,0.58
15/08/1969,2000,0.52
15/08/1969,500,0.42
15/08/1969,2600,2.36
15/08/1969,100,0.45
15/08/1969,1500,2.52
09/09/1969,2000,0.97
09/09/1969,2600,2.68
09/09/1969,1000,0.39
09/09/1969,500,0.03
09/09/1969,100,0.45
09/09/1969,1500,0.61
06/10/1969,2000,12.95
06/10/1969,1000,0.77
06/10/1969,1500,0.71
06/10/1969,2600,
06/10/1969,500,0.9
06/10/1969,100,0.87
05/11/1969,2600,4.07
05/11/1969,500,0.77
05/11/1969,1500,0.87
05/11/1969,2000,1.39
05/11/1969,100,1.03
05/11/1969,1000,0.77
02/12/1969,100,1
02/12/1969,500,1
02/12/1969,1000,1.03
02/12/1969,2600,
02/12/1969,1500,1.19
02/12/1969,2000,0.97
07/01/1970,100,
07/01/1970,500,
07/01/1970,2000,
07/01/1970,1000,
07/01/1970,2600,
07/01/1970,1500,
04/02/1970,500,
04/02/1970,100,
04/02/1970,1500,
04/02/1970,2600,
04/02/1970,1000,
04/02/1970,2000,
16/03/1970,100,
16/03/1970,2000,
16/03/1970,500,
16/03/1970,2600,
16/03/1970,1500,
16/03/1970,1000,
06/04/1970,1000,
06/04/1970,2000,
06/04/1970,1500,
06/04/1970,100,
06/04/1970,2600,
06/04/1970,500,
19/05/1970,100,
19/05/1970,1500,
19/05/1970,2000,
19/05/1970,2600,0.87
19/05/1970,1000,
19/05/1970,500,
09/06/1970,2600,0.52
09/06/1970,500,0.68
09/06/1970,2000,0.42
09/06/1970,100,0.55
09/06/1970,1000,0.39
09/06/1970,1500,0.36
14/07/1970,2600,1.58
14/07/1970,100,1.65
14/07/1970,1000,0.84
14/07/1970,500,0.84
14/07/1970,2000,2.23
14/07/1970,1500,1
20/08/1970,500,1.39
20/08/1970,2000,1.74
20/08/1970,1000,0.68
20/08/1970,2600,1.94
20/08/1970,1500,1.58
20/08/1970,100,1.13
29/09/1970,500,1.13
29/09/1970,1500,1.65
29/09/1970,100,0.9
29/09/1970,1000,1.29
29/09/1970,2000,2.03
29/09/1970,2600,3.45
15/10/1970,100,0.19
15/10/1970,500,0.39
15/10/1970,2000,0.36
15/10/1970,2600,0.94
15/10/1970,1500,0.23
15/10/1970,1000,0.13
02/11/1970,2000,0.19
02/11/1970,100,0.29
02/11/1970,500,0.26
02/11/1970,1500,0.13
02/11/1970,2600,0.29
02/11/1970,1000,0.26
01/12/1970,500,0.23
01/12/1970,2600,0.45
01/12/1970,1000,0.06
01/12/1970,100,0.1
01/12/1970,2000,0.26
01/12/1970,1500,0.26
19/01/1971,500,0.94
19/01/1971,1500,1.39
19/01/1971,2600,1.16
19/01/1971,100,1.26
19/01/1971,2000,0.87
19/01/1971,1000,0.48
10/02/1971,1000,1.26
10/02/1971,1500,1.32
10/02/1971,2000,0.36
10/02/1971,100,1.45
10/02/1971,2600,0.58
10/02/1971,500,1.78
11/03/1971,2600,1.16
11/03/1971,1500,0.81
11/03/1971,2000,0.52
11/03/1971,100,0.65
11/03/1971,500,0.9
11/03/1971,1000,0.71
07/04/1971,1500,0.81
07/04/1971,2000,1.1
07/04/1971,1000,0.87
07/04/1971,2600,0.87
07/04/1971,500,0.74
07/04/1971,100,0.84
10/05/1971,500,1.13
10/05/1971,1500,0.94
10/05/1971,100,1
10/05/1971,2000,1.19
10/05/1971,1000,1.36
10/05/1971,2600,1.42
08/06/1971,500,0.71
08/06/1971,1500,0.84
08/06/1971,1000,0.68
08/06/1971,100,1.45
08/06/1971,2000,1.16
08/06/1971,2600,0.71
13/07/1971,2000,1.36
13/07/1971,100,0.65
13/07/1971,1500,0.9
13/07/1971,2600,2
13/07/1971,500,0.58
13/07/1971,1000,0.65
01/09/1971,1000,0.45
01/09/1971,100,0.65
01/09/1971,500,0.65
01/09/1971,1500,0.65
01/09/1971,2600,2.65
01/09/1971,2000,1.61
05/10/1971,2000,0.97
05/10/1971,500,0.58
05/10/1971,2600,5.65
05/10/1971,1500,0.65
05/10/1971,100,0.58
05/10/1971,1000,0.58
04/11/1971,1000,2.23
04/11/1971,1500,2.49
04/11/1971,2000,1.97
04/11/1971,500,1.71
04/11/1971,2600,2.13
04/11/1971,100,1.97
06/12/1971,2000,0.68
06/12/1971,1500,0.81
06/12/1971,100,0.74
06/12/1971,2600,0.68
06/12/1971,500,0.74
06/12/1971,1000,0.74
11/01/1972,2000,1.16
11/01/1972,1500,1.16
11/01/1972,1000,1.39
11/01/1972,100,1.19
11/01/1972,500,1.13
11/01/1972,2600,1.32
08/02/1972,2000,1.19
08/02/1972,2000,1.16
08/02/1972,1000,1.16
08/02/1972,100,1.03
08/02/1972,500,1.13
08/02/1972,2600,1.29
08/02/1972,2500,1.32
08/02/1972,1500,1.03
08/02/1972,2200,1.23
08/03/1972,1800,1.1
08/03/1972,2300,1.1
08/03/1972,100,1.39
08/03/1972,2500,1.55
08/03/1972,1500,1.68
08/03/1972,2000,1.29
08/03/1972,2600,1.32
08/03/1972,500,1.23
08/03/1972,1000,1.23
04/04/1972,2000,0.61
04/04/1972,2600,0.58
04/04/1972,100,0.45
04/04/1972,1500,0.65
04/04/1972,500,0.45
04/04/1972,1000,0.58
05/05/1972,1300,0.55
05/05/1972,500,0.45
05/05/1972,1500,0.42
05/05/1972,2600,0.55
05/05/1972,800,0.42
05/05/1972,1000,0.48
05/05/1972,2000,0.42
05/05/1972,1700,0.32
05/05/1972,100,0.55
12/06/1972,1000,0.68
12/06/1972,500,0.55
12/06/1972,2000,0.74
12/06/1972,500,0.74
12/06/1972,400,0.52
12/06/1972,2600,1.23
12/06/1972,1500,0.71
12/06/1972,100,0.61
17/08/1972,1000,0.71
17/08/1972,500,0.71
17/08/1972,2000,1.71
17/08/1972,100,0.65
17/08/1972,2600,2.84
17/08/1972,1500,0.94
11/09/1972,1900,1.39
11/09/1972,500,0.77
11/09/1972,1400,0.65
11/09/1972,2000,2.23
11/09/1972,1500,0.61
11/09/1972,2600,5.33
11/09/1972,1000,0.94
11/09/1972,100,0.48
11/09/1972,1700,0.9
16/10/1972,1300,0.55
16/10/1972,1000,0.52
16/10/1972,100,0.42
16/10/1972,1800,1.36
16/10/1972,1500,0.94
16/10/1972,500,0.58
16/10/1972,2600,18.24
16/10/1972,2000,2.2
16/10/1972,2100,3.1
08/11/1972,1500,1.71
08/11/1972,2600,10.78
08/11/1972,2000,9.1
08/11/1972,900,1.16
08/11/1972,500,1.1
08/11/1972,1000,1.29
08/11/1972,100,1.16
08/11/1972,700,1.13
30/11/1972,2600,0.71
30/11/1972,1000,2
30/11/1972,2000,1.84
30/11/1972,500,1.9
30/11/1972,1500,2.07
30/11/1972,100,1.94
11/01/1973,2600,1.58
11/01/1973,1000,1.39
11/01/1973,1500,1.45
11/01/1973,2000,1.45
11/01/1973,100,0.84
11/01/1973,500,1.16
06/02/1973,2600,1.36
06/02/1973,1500,1.13
06/02/1973,1300,0.97
06/02/1973,500,1.16
06/02/1973,2000,1.29
06/02/1973,1000,1.13
06/02/1973,100,0.97
06/02/1973,1100,0.9
06/02/1973,1700,1.19
07/03/1973,1100,1.19
07/03/1973,1300,1.19
07/03/1973,1000,1
07/03/1973,100,0.94
07/03/1973,2000,1.03
07/03/1973,1400,2.36
07/03/1973,500,1
07/03/1973,2600,1
07/03/1973,1500,1.03
02/04/1973,2000,1.23
02/04/1973,1000,1.13
02/04/1973,2600,1.32
02/04/1973,100,0.9
02/04/1973,1500,1.03
02/04/1973,500,0.9
02/05/1973,100,0.61
02/05/1973,500,0.52
02/05/1973,1000,0.74
02/05/1973,2600,1.68
02/05/1973,1500,0.68
02/05/1973,1300,0.87
02/05/1973,2000,1
28/05/1973,100,0.32
28/05/1973,2600,0.9
28/05/1973,500,0.39
28/05/1973,200,0.36
28/05/1973,1000,0.48
28/05/1973,400,0.36
28/05/1973,2000,0.65
28/05/1973,1500,0.52
05/07/1973,1000,0.48
05/07/1973,1100,0.45
05/07/1973,1300,0.65
05/07/1973,2600,0.45
05/07/1973,500,0.42
05/07/1973,100,0.55
05/07/1973,2000,0.9
05/07/1973,1500,0.58
30/07/1973,1500,0.71
30/07/1973,100,0.42
30/07/1973,1400,0.58
30/07/1973,2000,0.77
30/07/1973,900,0.61
30/07/1973,1000,0.42
30/07/1973,2600,1.07
30/07/1973,1200,0.58
30/07/1973,500,0.45
05/09/1973,500,0.48
05/09/1973,2600,3.1
05/09/1973,100,0.52
05/09/1973,1500,1.13
05/09/1973,2000,0.77
05/09/1973,1000,0.61
05/10/1973,2600,4.49
05/10/1973,1000,0.65
05/10/1973,500,0.84
05/10/1973,100,0.81
05/10/1973,1500,1.1
05/10/1973,2000,2.07
31/10/1973,100,1.23
31/10/1973,1800,2.68
31/10/1973,1500,1.52
31/10/1973,500,1
31/10/1973,1000,0.71
31/10/1973,2000,4.04
31/10/1973,2600,4
05/12/1973,1500,1.39
05/12/1973,2600,0.65
05/12/1973,1000,1.42
05/12/1973,2000,1.65
05/12/1973,100,1.49
05/12/1973,500,1.58
10/01/1974,100,2.13
10/01/1974,500,0.97
10/01/1974,1000,1.16
10/01/1974,2600,1.03
10/01/1974,1500,0.81
10/01/1974,2000,0.9
06/02/1974,1500,0.9
06/02/1974,100,5.88
06/02/1974,1000,0.9
06/02/1974,2600,1.26
06/02/1974,2000,0.9
06/02/1974,500,1.23
13/03/1974,100,1.23
13/03/1974,1500,1.36
13/03/1974,1000,1.39
13/03/1974,2600,1.19
13/03/1974,500,0.61
13/03/1974,2000,1.39
05/04/1974,1000,0.81
05/04/1974,500,0.55
05/04/1974,2600,1.03
05/04/1974,2000,0.97
05/04/1974,100,0.55
05/04/1974,1500,0.81
13/05/1974,500,0.61
13/05/1974,2000,0.61
