DATE,DEPTH,NH4
2009-02-10,100,0.33
2009-02-10,500,0.27
2009-02-10,1000,0.25
2009-02-10,1500,0.27
2009-02-10,2000,0.71
2009-02-10,2500,1.09
2009-03-02,100,0.0
2009-03-02,500,0.07
2009-03-02,1000,0.15
2009-03-02,1500,0.6
2009-03-02,2000,1.66
2009-03-02,2500,2.18
2009-04-24,100,0.04
2009-04-24,500,0.01
2009-04-24,1000,0.03
2009-04-24,1500,0.04
2009-04-24,2000,0.17
2009-04-24,2500,4.68
2009-05-20,100,0.01
2009-05-20,500,0.02
2009-05-20,1000,0.03
2009-05-20,1500,0.03
2009-05-20,2000,0.3
2009-05-20,2500,2.54
2009-06-23,100,0.11
2009-06-23,500,0.09
2009-06-23,1000,0.09
2009-06-23,1500,0.05
2009-06-23,2000,0.04
2009-06-23,2500,0.33
2009-07-14,100,0.01
2009-07-14,500,0.11
2009-07-14,1000,0.07
2009-07-14,1500,0.1
2009-07-14,2000,0.14
2009-07-14,2500,1.52
2009-08-20,100,0.15
2009-08-20,500,0.1
2009-08-20,1000,0.14
2009-08-20,1500,0.05
2009-08-20,2000,0.01
2009-08-20,2500,1.0
2009-09-15,100,0.09
2009-09-15,500,0.01
2009-09-15,1000,0.03
2009-09-15,1500,0.05
2009-09-15,2000,1.2
2009-09-15,2500,4.86
2009-10-19,100,0.09
2009-10-19,500,0.07
2009-10-19,1000,0.11
2009-10-19,1500,0.17
2009-10-19,2000,0.26
2009-10-19,2500,0.63
2009-11-04,0,
2009-12-15,100,0.03
2009-12-15,500,0.02
2009-12-15,1000,0.03
2009-12-15,1500,0.96
2009-12-15,2000,1.57
2009-12-15,2500,3.08
2010-01-19,100,0.37
2010-01-19,500,0.33
2010-01-19,1000,0.34
2010-01-19,1500,0.39
2010-01-19,2000,2.01
2010-01-19,2500,4.19
2010-02-11,0,
2010-03-19,100,0.17
2010-03-19,500,0.12
2010-03-19,1000,0.1
2010-03-19,1500,0.9
2010-03-19,2000,2.64
2010-03-19,2500,2.25
2010-04-26,100,0.06
2010-04-26,500,0.02
2010-04-26,1000,0.16
2010-04-26,1500,0.74
2010-04-26,2000,2.24
2010-04-26,2500,3.2
2010-05-19,100,0.09
2010-05-19,500,0.06
2010-05-19,1000,0.03
2010-05-19,1500,0.18
2010-05-19,2000,6.42
2010-05-19,2500,9.76
2010-06-02,100,0.11
2010-06-02,500,0.09
2010-06-02,1000,0.08
2010-06-02,1500,0.09
2010-06-02,2000,0.89
2010-06-02,2500,9.51
2010-07-01,100,0.11
2010-07-01,500,0.11
2010-07-01,1000,0.16
2010-07-01,1500,0.08
2010-07-01,2000,1.3
2010-07-01,2500,10.34
2010-08-10,100,0.15
2010-08-10,500,0.13
2010-08-10,1000,0.09
2010-08-10,1500,0.04
2010-08-10,2000,0.01
2010-08-10,2500,5.1
2010-09-21,100,0.07
2010-09-21,500,0.04
2010-09-21,1000,0.06
2010-09-21,1500,0.3
2010-09-21,2000,2.53
2010-09-21,2500,4.25
2010-10-13,100,0.02
2010-10-13,500,0.0
2010-10-13,1000,0.05
2010-10-13,1500,0.09
2010-10-13,2000,0.09
2010-10-13,2500,2.91
2010-11-16,100,0.78
2010-11-16,500,1.08
2010-11-16,1000,1.48
2010-11-16,1500,1.62
2010-11-16,2000,1.23
2010-11-16,2500,1.32
2010-12-03,0,
2011-01-19,0,
2011-02-18,100,
2011-02-18,500,
2011-02-18,1000,
2011-02-18,1500,
2011-02-18,2000,
2011-02-18,2500,
2011-03-08,100,0.12
2011-03-08,500,0.1
2011-03-08,1000,0.21
2011-03-08,1500,0.53
2011-03-08,2000,1.0
2011-03-08,2500,1.87
2011-04-19,100,0.1
2011-04-19,500,0.04
2011-04-19,1000,0.43
2011-04-19,1500,0.84
2011-04-19,2000,1.34
2011-04-19,2500,1.31
2011-05-13,100,0.01
2011-05-13,500,0.07
2011-05-13,1000,0.13
2011-05-13,1500,0.14
2011-05-13,2000,0.39
2011-05-13,2500,0.67
2011-06-21,100,0.13
2011-06-21,500,0.18
2011-06-21,1000,0.04
2011-06-21,1500,0.05
2011-06-21,2000,1.54
2011-06-21,2500,1.61
2011-07-25,100,0.02
2011-07-25,500,0.07
2011-07-25,1000,0.22
2011-07-25,1500,0.87
2011-07-25,2000,1.24
2011-07-25,2500,2.2
2011-08-01,100,0.02
2011-08-01,500,0.03
2011-08-01,1000,0.04
2011-08-01,1500,0.09
2011-08-01,2000,0.1
2011-08-01,2500,0.84
2011-08-01,900,
2011-08-01,2800,
2011-09-21,100,0.01
2011-09-21,500,0.04
2011-09-21,1000,0.1
2011-09-21,1500,0.26
2011-09-21,2000,1.34
