DATE,DEPTH,CTDSAL
21/07/1988,500,13.59
21/07/1988,1500,17.23
21/07/1988,2000,21.06
21/07/1988,1000,15.83
22/08/1988,1500,25.78
22/08/1988,1000,24.91
22/08/1988,2600,27.15
22/08/1988,2000,26.22
22/08/1988,100,19.07
22/08/1988,500,22.65
14/09/1988,500,16.26
14/09/1988,100,15.36
14/09/1988,2000,24.36
14/09/1988,1500,19.91
14/09/1988,2400,26.47
14/09/1988,1000,18.39
10/10/1988,100,21.82
10/10/1988,2000,25.08
10/10/1988,2500,25.2
10/10/1988,1000,23.79
10/10/1988,1500,24.17
10/10/1988,500,21.83
06/11/1988,100,17.95
06/11/1988,1500,17.98
06/11/1988,2000,20.55
06/11/1988,3500,21.86
06/11/1988,1000,17.95
06/11/1988,500,17.96
08/12/1988,2500,18.49
08/12/1988,1000,18.41
08/12/1988,1500,18.42
08/12/1988,2000,18.42
08/12/1988,500,18.4
08/12/1988,100,18.42
17/01/1989,1500,19.97
17/01/1989,1000,19.79
17/01/1989,2000,21.55
17/01/1989,500,19.79
17/01/1989,2500,21.66
17/01/1989,100,19.79
14/02/1989,2500,21.72
14/02/1989,100,20.49
14/02/1989,1500,20.67
14/02/1989,1000,20.49
14/02/1989,2000,21.42
14/02/1989,500,20.49
08/03/1989,2000,20.17
08/03/1989,2500,20.44
08/03/1989,1000,20.07
08/03/1989,500,20.05
08/03/1989,1500,20.08
08/03/1989,100,20.06
11/04/1989,2600,17.56
11/04/1989,500,17.15
11/04/1989,1000,17.15
11/04/1989,1500,17.16
11/04/1989,100,17.15
11/04/1989,2000,17.28
08/05/1989,1500,13.73
08/05/1989,2500,16.95
08/05/1989,2000,16.51
08/05/1989,500,11.91
08/05/1989,1000,11.92
08/05/1989,100,11.91
13/06/1989,1500,16.45
13/06/1989,500,13.29
13/06/1989,2000,17.01
13/06/1989,1000,15.38
13/06/1989,2500,17.53
13/06/1989,100,13.26
13/07/1989,1500,16.36
13/07/1989,1000,14.23
13/07/1989,2500,17.85
13/07/1989,2000,17.54
13/07/1989,500,13.19
13/07/1989,100,13.19
27/08/1989,2000,19.33
27/08/1989,100,15.35
27/08/1989,500,15.35
27/08/1989,2500,20.54
27/08/1989,1500,16.82
27/08/1989,1000,15.36
12/09/1989,100,15.95
12/09/1989,1000,16.01
12/09/1989,500,15.95
12/09/1989,2000,19.55
12/09/1989,1500,16.05
12/09/1989,2700,21.13
17/10/1989,1500,16.42
17/10/1989,100,16.42
17/10/1989,1000,16.42
17/10/1989,500,16.42
17/10/1989,2700,16.76
17/10/1989,2000,16.44
20/11/1989,1000,18.31
20/11/1989,2000,
20/11/1989,1500,
20/11/1989,2700,21.83
20/11/1989,100,17.84
20/11/1989,500,18.09
18/12/1989,1000,17.62
18/12/1989,2700,18.27
18/12/1989,500,17.61
18/12/1989,1500,17.61
18/12/1989,2000,17.63
18/12/1989,100,17.61
17/01/1990,200,
17/01/1990,2000,
17/01/1990,1000,
22/01/1990,2000,18.46
22/01/1990,1500,18.28
22/01/1990,1000,18.27
22/01/1990,500,18.26
22/01/1990,2600,19.91
22/01/1990,100,18.26
14/02/1990,1000,20.58
14/02/1990,2700,21.92
14/02/1990,1500,20.74
14/02/1990,100,20.54
14/02/1990,500,20.55
14/02/1990,2000,20.91
13/03/1990,500,20.22
13/03/1990,2000,20.23
13/03/1990,1500,20.23
13/03/1990,100,20.22
13/03/1990,1000,20.22
13/03/1990,2500,20.23
17/04/1990,2500,21.85
17/04/1990,1500,20.25
17/04/1990,2000,21.06
17/04/1990,1000,20.21
17/04/1990,100,18.05
17/04/1990,500,19.91
19/06/1990,500,
19/06/1990,1000,
19/06/1990,100,
19/07/1990,1000,15.41
19/07/1990,1500,19.95
19/07/1990,2000,22.56
19/07/1990,500,15.37
19/07/1990,2500,23.94
19/07/1990,100,15.37
20/07/1990,1500,
20/07/1990,2000,
20/07/1990,2500,
21/08/1990,1500,21.62
21/08/1990,500,21.12
21/08/1990,100,21.12
21/08/1990,2600,23.89
21/08/1990,1000,21.25
21/08/1990,2000,22.49
18/09/1990,500,15.57
18/09/1990,100,15.57
18/09/1990,2600,22.59
18/09/1990,1500,18.79
18/09/1990,2000,22.14
18/09/1990,1000,16.99
16/10/1990,1000,19.83
16/10/1990,100,19.47
16/10/1990,1500,20.42
16/10/1990,2000,21.15
16/10/1990,2600,21.59
16/10/1990,500,19.48
14/11/1990,2500,20.68
14/11/1990,2600,20.68
14/11/1990,500,17.33
14/11/1990,100,16.92
14/11/1990,2000,20.41
14/11/1990,1000,19.33
14/11/1990,1500,19.96
13/12/1990,1000,17.56
13/12/1990,1500,17.59
13/12/1990,2000,17.62
13/12/1990,100,17.53
13/12/1990,500,17.54
13/12/1990,2400,17.65
15/01/1991,1000,19.13
15/01/1991,100,19.13
15/01/1991,500,19.14
15/01/1991,1500,19.19
15/01/1991,2000,21.33
15/01/1991,2500,24.01
15/01/1991,2700,24.02
13/02/1991,1500,18
13/02/1991,1000,17.68
13/02/1991,2600,18.65
13/02/1991,500,17.05
13/02/1991,100,16.91
13/02/1991,2000,18.42
20/03/1991,2000,17.14
20/03/1991,1000,16.62
20/03/1991,100,16.61
20/03/1991,2500,18.41
20/03/1991,500,16.61
20/03/1991,2700,18.49
20/03/1991,1500,16.69
15/04/1991,1500,19.31
15/04/1991,2500,23.93
15/04/1991,100,15.31
15/04/1991,2000,21.65
15/04/1991,1000,18.46
15/04/1991,2700,23.94
15/04/1991,500,16.7
21/05/1991,2000,
21/05/1991,500,15.52
21/05/1991,2500,
21/05/1991,1000,15.76
21/05/1991,100,15.52
21/05/1991,1500,17.7
17/06/1991,500,17.03
17/06/1991,1500,19.43
17/06/1991,2500,21.41
17/06/1991,2000,20.72
17/06/1991,2600,21.66
17/06/1991,1000,18.74
17/06/1991,100,16.59
22/07/1991,100,16.01
22/07/1991,2500,20.66
22/07/1991,1000,17.25
22/07/1991,500,16.01
22/07/1991,2700,20.75
22/07/1991,2000,20.02
22/07/1991,1500,18.34
14/08/1991,100,14.19
14/08/1991,1000,15.89
14/08/1991,1500,17.47
14/08/1991,500,14.56
14/08/1991,2700,21.31
14/08/1991,2000,20
10/09/1991,2600,21.29
10/09/1991,1000,15.81
10/09/1991,500,15.75
10/09/1991,100,15.75
10/09/1991,2000,20.91
10/09/1991,1500,16.92
10/09/1991,2500,21.27
17/10/1991,500,20.03
17/10/1991,2000,21.11
17/10/1991,1000,20.38
17/10/1991,1500,20.94
17/10/1991,2600,21.34
17/10/1991,100,20.01
12/11/1991,1000,18.66
12/11/1991,2500,18.78
12/11/1991,2000,18.73
12/11/1991,100,18.67
12/11/1991,1500,18.69
12/11/1991,500,18.66
12/12/1991,2000,20.52
12/12/1991,100,18.19
12/12/1991,1500,20
12/12/1991,1000,18.75
12/12/1991,500,18.19
12/12/1991,2600,21.72
12/12/1991,2500,21.5
30/01/1992,1500,20.75
30/01/1992,2700,23.42
30/01/1992,2000,20.79
30/01/1992,1000,20.73
30/01/1992,2500,23.4
30/01/1992,500,20.69
30/01/1992,100,20.66
11/02/1992,2000,20
11/02/1992,100,19.2
11/02/1992,500,19.5
11/02/1992,2500,21.8
11/02/1992,1500,19.6
11/02/1992,1000,19.5
20/02/1992,1000,20.45
20/02/1992,2700,21.75
20/02/1992,1500,20.52
20/02/1992,100,20.41
20/02/1992,2500,21.43
20/02/1992,2000,20.87
20/02/1992,500,20.41
27/02/1992,2000,19.7
27/02/1992,500,19.4
27/02/1992,1000,19.5
27/02/1992,2500,19.9
27/02/1992,100,19
27/02/1992,1500,19.7
04/03/1992,500,19.1
04/03/1992,2500,19.5
04/03/1992,1000,19.2
04/03/1992,100,18.8
04/03/1992,1500,19.4
04/03/1992,2000,19.4
19/03/1992,1500,19
19/03/1992,1000,18.6
19/03/1992,100,18.2
19/03/1992,500,18.3
19/03/1992,2000,19.44
19/03/1992,2500,19.5
26/03/1992,1000,18
26/03/1992,500,17.6
26/03/1992,1500,18.5
26/03/1992,2500,19.4
26/03/1992,2000,18.9
26/03/1992,100,17.5
30/03/1992,2700,20.1
30/03/1992,100,16.3
30/03/1992,1000,17.01
30/03/1992,500,16.31
30/03/1992,2500,20.06
30/03/1992,1500,18.39
30/03/1992,2000,19.56
21/04/1992,2700,19.24
21/04/1992,500,13.94
21/04/1992,1500,15.3
21/04/1992,100,13.92
21/04/1992,2000,18.02
21/04/1992,2500,19.04
21/04/1992,1000,14.1
13/05/1992,2000,18.29
13/05/1992,1500,17.03
13/05/1992,500,15.91
13/05/1992,2500,18.67
13/05/1992,2700,18.69
13/05/1992,100,15.95
13/05/1992,1000,16.51
16/06/1992,1000,13.79
16/06/1992,100,12.92
16/06/1992,2500,19.91
16/06/1992,2700,20.03
16/06/1992,2000,14.82
16/06/1992,500,12.93
16/06/1992,1500,14.28
09/07/1992,2500,19.37
09/07/1992,1500,14.71
09/07/1992,500,13.66
09/07/1992,2000,18.34
09/07/1992,2700,19.38
09/07/1992,1000,13.92
09/07/1992,100,13.66
06/08/1992,1500,20.1
06/08/1992,100,15.9
06/08/1992,1000,18.6
06/08/1992,500,17.6
06/08/1992,2000,20.7
06/08/1992,2500,20.8
17/08/1992,100,18.21
17/08/1992,1000,20.96
17/08/1992,1500,21.81
17/08/1992,2600,23.62
17/08/1992,2500,23.61
17/08/1992,2000,22.26
17/08/1992,500,19.46
27/08/1992,2500,22.5
27/08/1992,1000,20.2
27/08/1992,2000,21.7
27/08/1992,500,18.6
27/08/1992,1500,21.2
27/08/1992,100,18.5
03/09/1992,1000,20.8
03/09/1992,500,20.7
03/09/1992,2000,22.3
03/09/1992,100,20.5
03/09/1992,1500,21.8
03/09/1992,2500,22.8
09/09/1992,1500,22.53
09/09/1992,2000,23.3
09/09/1992,1000,21.47
09/09/1992,2500,23.43
09/09/1992,500,18.97
09/09/1992,100,18.93
09/09/1992,2700,23.48
17/09/1992,2000,22
17/09/1992,2500,22.3
17/09/1992,100,18.3
17/09/1992,500,18.4
17/09/1992,1500,20.5
17/09/1992,1000,19.2
24/09/1992,100,18.2
24/09/1992,500,18.2
24/09/1992,1000,19.5
24/09/1992,1500,20.1
24/09/1992,2000,21.9
24/09/1992,2500,22.2
01/10/1992,2500,22.1
01/10/1992,100,18.3
01/10/1992,1000,18.5
01/10/1992,500,18.4
01/10/1992,1500,18.7
01/10/1992,2000,20.4
12/10/1992,1000,16.12
12/10/1992,2700,18.53
12/10/1992,2500,18.53
12/10/1992,100,16.1
12/10/1992,2000,16.57
12/10/1992,500,16.1
12/10/1992,1500,16.14
