DATE,DEPTH,OXY
03/09/1963,100,293.8
03/09/1963,1500,231.3
03/09/1963,1000,250
03/10/1963,2000,115.6
03/10/1963,1500,121.9
03/10/1963,1000,200
03/10/1963,100,300
03/10/1963,500,293.8
03/10/1963,2600,71.9
04/11/1963,500,300
04/11/1963,2000,190.6
04/11/1963,1000,300
04/11/1963,100,303.1
04/11/1963,1500,281.3
04/11/1963,2600,59.4
02/12/1963,100,321.9
02/12/1963,2000,306.3
02/12/1963,2600,275
02/12/1963,1500,334.4
02/12/1963,500,315.6
02/12/1963,1000,353.1
04/02/1964,1500,362.5
04/02/1964,2000,340.6
04/02/1964,500,371.9
04/02/1964,100,365.6
04/02/1964,2600,325
04/02/1964,1000,371.9
25/02/1964,2000,353.1
25/02/1964,100,409.4
25/02/1964,1000,400
25/02/1964,2600,340.6
25/02/1964,500,393.8
25/02/1964,1500,378.1
17/03/1964,100,409.4
17/03/1964,2000,406.3
17/03/1964,1000,412.5
17/03/1964,1500,409.4
17/03/1964,2600,362.5
17/03/1964,500,415.6
07/04/1964,1000,425
07/04/1964,100,440.6
07/04/1964,1500,415.6
07/04/1964,2000,418.8
07/04/1964,2600,321.9
07/04/1964,500,421.9
13/05/1964,500,396.9
13/05/1964,1500,312.5
13/05/1964,2600,287.5
13/05/1964,100,415.6
13/05/1964,2000,303.1
13/05/1964,1000,340.6
09/06/1964,1500,287.5
09/06/1964,500,331.3
09/06/1964,100,334.4
09/06/1964,1000,309.4
09/06/1964,2000,271.9
09/06/1964,2600,215.6
21/07/1964,1000,421.9
21/07/1964,2600,200
21/07/1964,1500,378.1
21/07/1964,500,418.8
21/07/1964,100,403.1
21/07/1964,2000,284.4
27/08/1964,500,
27/08/1964,1000,
27/08/1964,2000,
27/08/1964,1500,
27/08/1964,100,
27/08/1964,2600,
10/09/1964,100,281.3
10/09/1964,1500,250
10/09/1964,1000,278.1
10/09/1964,2600,53.1
10/09/1964,500,290.6
10/09/1964,2000,115.6
20/10/1964,500,315.6
20/10/1964,1000,306.3
20/10/1964,2000,131.3
20/10/1964,2600,18.8
20/10/1964,100,318.8
20/10/1964,1500,300
17/11/1964,500,293.8
17/11/1964,2600,271.9
17/11/1964,2000,234.4
17/11/1964,1000,290.6
17/11/1964,100,296.9
17/11/1964,1500,284.4
15/12/1964,500,340.6
15/12/1964,2600,303.1
15/12/1964,1000,331.3
15/12/1964,100,343.8
15/12/1964,2000,318.8
15/12/1964,1500,328.1
19/01/1965,1000,378.1
19/01/1965,2600,346.9
19/01/1965,1500,365.6
19/01/1965,500,384.4
19/01/1965,2000,359.4
19/01/1965,100,381.3
17/02/1965,1500,418.8
17/02/1965,100,415.6
17/02/1965,1000,418.8
17/02/1965,500,418.8
17/02/1965,2000,365.6
17/02/1965,2600,350
16/03/1965,2000,400
16/03/1965,500,453.1
16/03/1965,2600,337.5
16/03/1965,1000,418.8
16/03/1965,100,475
16/03/1965,1500,418.8
24/04/1965,1000,387.5
24/04/1965,2000,371.9
24/04/1965,500,390.6
24/04/1965,1500,378.1
24/04/1965,2600,271.9
24/04/1965,100,387.5
11/05/1965,500,365.6
11/05/1965,2000,356.3
11/05/1965,100,368.8
11/05/1965,1500,362.5
11/05/1965,1000,368.8
11/05/1965,2600,287.5
15/06/1965,100,334.4
15/06/1965,2600,150
15/06/1965,1500,290.6
15/06/1965,2000,237.5
15/06/1965,500,343.8
15/06/1965,1000,340.6
21/07/1965,2600,162.5
21/07/1965,100,325
21/07/1965,1000,309.4
21/07/1965,500,328.1
21/07/1965,1500,290.6
21/07/1965,2000,234.4
24/08/1965,1500,300
24/08/1965,100,315.6
24/08/1965,2600,46.9
24/08/1965,500,318.8
24/08/1965,1000,309.4
24/08/1965,2000,175
07/09/1965,1000,296.9
07/09/1965,2000,115.6
07/09/1965,2600,65.6
07/09/1965,100,303.1
07/09/1965,500,306.3
07/09/1965,1500,265.6
05/10/1965,1000,318.8
05/10/1965,100,321.9
05/10/1965,2600,25
05/10/1965,2000,143.8
05/10/1965,1500,221.9
05/10/1965,500,231.3
02/11/1965,2000,171.9
02/11/1965,2600,87.5
02/11/1965,100,278.1
02/11/1965,1000,259.4
02/11/1965,500,281.3
02/11/1965,1500,190.6
07/12/1965,1000,353.1
07/12/1965,1500,353.1
07/12/1965,2600,353.1
07/12/1965,2000,353.1
07/12/1965,500,356.3
07/12/1965,100,356.3
18/01/1966,100,371.9
18/01/1966,1500,368.8
18/01/1966,500,371.9
18/01/1966,2600,365.6
18/01/1966,2000,368.8
18/01/1966,1000,368.8
14/02/1966,2600,396.9
14/02/1966,1500,400
14/02/1966,1000,400
14/02/1966,2000,400
14/02/1966,500,400
14/02/1966,100,400
14/03/1966,1500,415.6
14/03/1966,500,415.6
14/03/1966,1000,415.6
14/03/1966,2000,390.6
14/03/1966,2600,359.4
14/03/1966,100,412.5
05/04/1966,2000,315.6
05/04/1966,1500,284.4
05/04/1966,100,375
05/04/1966,2600,303.1
05/04/1966,1000,356.3
05/04/1966,500,381.3
10/05/1966,1500,356.3
10/05/1966,2000,300
10/05/1966,2600,287.5
10/05/1966,1000,378.1
10/05/1966,500,375
10/05/1966,100,368.8
23/06/1966,500,293.8
23/06/1966,100,293.8
23/06/1966,1500,318.8
23/06/1966,2600,162.5
23/06/1966,2000,265.6
23/06/1966,1000,315.6
12/07/1966,2000,193.8
12/07/1966,2600,187.5
12/07/1966,1500,215.6
12/07/1966,1000,253.1
12/07/1966,500,290.6
12/07/1966,100,275
02/08/1966,100,237.5
02/08/1966,500,259.4
02/08/1966,1000,196.9
02/08/1966,2600,146.9
02/08/1966,2000,146.9
02/08/1966,1500,184.4
05/09/1966,500,293.8
05/09/1966,1000,278.1
05/09/1966,1500,237.5
05/09/1966,2000,125
05/09/1966,2600,96.9
05/09/1966,100,293.8
03/10/1966,2600,40.6
03/10/1966,1000,190.6
03/10/1966,1500,140.6
03/10/1966,500,234.4
03/10/1966,2000,75
03/10/1966,100,290.6
31/10/1966,2600,296.9
31/10/1966,2000,187.5
31/10/1966,100,325
31/10/1966,1000,306.3
31/10/1966,500,312.5
31/10/1966,1500,268.8
06/12/1966,1000,315.6
06/12/1966,2600,118.8
06/12/1966,100,331.3
06/12/1966,1500,209.4
06/12/1966,500,331.3
06/12/1966,2000,153.1
10/01/1967,1500,290.6
10/01/1967,1000,321.9
10/01/1967,500,371.9
10/01/1967,2600,275
10/01/1967,100,371.9
10/01/1967,2000,278.1
07/02/1967,2600,225
07/02/1967,500,371.9
07/02/1967,1000,371.9
07/02/1967,1500,371.9
07/02/1967,100,378.1
07/02/1967,2000,340.6
06/03/1967,2000,356.3
06/03/1967,2600,356.3
06/03/1967,500,375
06/03/1967,100,375
06/03/1967,1000,375
06/03/1967,1500,371.9
05/04/1967,100,418.8
05/04/1967,2600,325
05/04/1967,500,425
05/04/1967,1000,375
05/04/1967,2000,337.5
05/04/1967,1500,337.5
08/05/1967,1000,328.1
08/05/1967,100,337.5
08/05/1967,1500,278.1
08/05/1967,2600,37.5
08/05/1967,500,331.3
08/05/1967,2000,231.3
05/06/1967,500,315.6
05/06/1967,2600,31.3
05/06/1967,2000,184.4
05/06/1967,1000,306.3
05/06/1967,100,325
05/06/1967,1500,275
03/07/1967,2000,93.8
03/07/1967,1000,275
03/07/1967,500,303.1
03/07/1967,1500,162.5
03/07/1967,100,300
03/07/1967,2600,68.8
01/08/1967,100,315.6
01/08/1967,2000,59.4
01/08/1967,2600,68.8
01/08/1967,1500,237.5
01/08/1967,500,312.5
01/08/1967,1000,281.3
18/09/1967,100,300
18/09/1967,2000,71.9
18/09/1967,500,303.1
18/09/1967,2600,6.3
18/09/1967,1000,212.5
18/09/1967,1500,175
10/10/1967,2600,25
10/10/1967,500,275
10/10/1967,1500,206.3
10/10/1967,100,275
10/10/1967,1000,231.3
10/10/1967,2000,28.1
06/11/1967,2600,168.8
06/11/1967,100,293.8
06/11/1967,2000,246.9
06/11/1967,500,293.8
06/11/1967,1500,284.4
06/11/1967,1000,290.6
04/12/1967,2600,259.4
04/12/1967,1500,315.6
04/12/1967,1000,325
04/12/1967,100,328.1
04/12/1967,500,331.3
04/12/1967,2000,315.6
08/01/1968,1000,356.3
