DATE,DEPTH,OXY
2015-09-10,1000,280.3
2015-09-10,1500,256.0
2015-09-10,2000,80.4
2015-09-10,2500,
2015-10-15,0,
2015-11-05,100,316.8
2015-11-05,500,315.5
2015-11-05,1000,311.9
2015-11-05,1500,277.3
2015-11-05,2000,109.8
2015-11-05,2500,73.6
2015-12-08,100,318.2
2015-12-08,500,317.2
2015-12-08,1000,309.9
2015-12-08,1500,303.5
2015-12-08,2000,291.7
2015-12-08,2500,287.9
2016-01-05,0,
2016-02-09,0,
2016-03-08,100,
2016-03-08,2640,
2016-03-08,500,410.8
2016-03-08,1000,374.7
2016-03-08,1500,327.9
2016-03-08,2000,294.1
2016-03-08,2500,277.8
2016-04-12,100,366.6
2016-04-12,500,370.1
2016-04-12,1000,382.2
2016-04-12,1500,383.6
2016-04-12,2000,300.3
2016-04-12,2500,238.2
2016-05-03,100,347.4
2016-05-03,500,332.6
2016-05-03,1000,326.6
2016-05-03,1500,278.3
2016-05-03,2000,266.0
2016-05-03,2500,245.8
2016-06-01,100,303.6
2016-06-01,500,305.7
2016-06-01,1000,327.5
2016-06-01,1500,309.2
2016-06-01,2000,270.3
2016-06-01,2500,147.3
2016-06-21,0,
2016-07-05,100,293.4
2016-07-05,500,292.9
2016-07-05,1000,264.4
2016-07-05,1500,219.5
2016-07-05,2000,148.4
2016-07-05,2500,140.3
2016-08-03,100,271.4
2016-08-03,500,289.2
2016-08-03,1000,277.8
2016-08-03,1500,242.9
2016-08-03,2000,160.6
2016-08-03,2500,111.8
2016-09-21,100,280.9
2016-09-21,500,279.7
2016-09-21,1000,268.8
2016-09-21,1500,261.7
2016-09-21,2000,219.0
2016-09-21,2500,0.0
2016-10-19,100,
2016-10-19,500,
2016-10-19,1000,
2016-10-19,1500,
2016-10-19,2000,
2016-10-19,2500,
2016-11-08,100,309.3
2016-11-08,500,308.9
2016-11-08,1000,308.9
2016-11-08,1500,308.9
2016-11-08,2000,301.8
2016-11-08,2500,0.0
2016-12-06,100,341.1
2016-12-06,500,341.0
2016-12-06,1000,339.5
2016-12-06,1500,311.5
2016-12-06,2000,194.7
2016-12-06,2500,98.1
2017-01-10,100,345.4
2017-01-10,500,345.1
2017-01-10,1000,340.9
2017-01-10,1500,301.7
2017-01-10,2000,299.8
2017-01-10,2500,304.6
2017-02-21,0,
2017-03-13,100,410.7
2017-03-13,500,393.2
2017-03-13,1000,344.9
2017-03-13,1500,325.4
2017-03-13,2000,322.4
2017-03-13,2500,318.5
2017-04-10,100,350.2
2017-04-10,500,350.64
2017-04-10,1000,348.39
2017-04-10,1500,328.49
2017-04-10,2000,268.13
2017-04-10,2500,261.08
2017-05-03,0,
2017-06-21,100,294.4
2017-06-21,500,295.59
2017-06-21,1000,299.07
2017-06-21,1500,276.58
2017-06-21,2000,183.53
2017-06-21,2500,137.58
2017-07-17,100,280.36
2017-07-17,500,278.33
2017-07-17,1000,247.64
2017-07-17,1500,169.23
2017-07-17,2000,128.24
2017-07-17,2500,91.01
2017-08-01,100,278.36
2017-08-01,500,277.01
2017-08-01,1000,254.6
2017-08-01,1500,209.44
2017-08-01,2000,145.42
2017-08-01,2500,53.1
2017-09-12,100,146.8
2017-09-12,500,135.92
2017-09-12,1000,55.04
2017-09-12,1500,24.61
2017-09-12,2000,27.98
2017-09-12,2500,28.64
2017-10-24,100,
2017-10-24,2500,
2017-10-24,500,258.71
2017-10-24,1000,187.22
2017-10-24,1500,164.67
2017-10-24,2000,152.52
2017-11-09,100,
2017-11-09,2500,
2017-11-09,500,300.24
2017-11-09,1000,294.15
2017-11-09,1500,243.63
2017-11-09,2000,165.12
2017-12-19,100,331.6
2017-12-19,500,332.0
2017-12-19,1000,331.52
2017-12-19,1500,329.77
2017-12-19,2000,320.67
2017-12-19,2500,305.26
2018-01-10,100,345.77
2018-01-10,500,345.79
2018-01-10,1000,345.59
2018-01-10,1500,345.15
2018-01-10,2000,344.44
2018-01-10,2500,343.81
2018-02-20,100,393.21
2018-02-20,500,388.93
2018-02-20,1000,366.8
2018-02-20,1500,354.43
2018-02-20,2000,319.44
2018-02-20,2500,294.36
2018-03-26,100,426.88
2018-03-26,500,426.99
2018-03-26,1000,421.55
2018-03-26,1500,416.27
2018-03-26,2000,405.9
2018-03-26,2500,398.37
2018-04-18,100,406.79
2018-04-18,500,401.96
2018-04-18,1000,390.42
2018-04-18,1500,391.67
2018-04-18,2000,388.26
2018-04-18,2500,384.18
2018-05-08,100,369.18
2018-05-08,500,371.82
2018-05-08,1000,359.39
2018-05-08,1500,324.16
2018-05-08,2000,305.61
2018-05-08,2500,286.44
2018-06-21,100,294.2
2018-06-21,500,288.18
2018-06-21,1000,225.07
2018-06-21,1500,228.13
2018-06-21,2000,217.76
2018-06-21,2500,187.03
2018-07-12,0,
2018-08-01,100,
2018-08-01,2500,
2018-08-01,500,280.3
2018-08-01,1000,295.66
2018-08-01,1500,297.61
2018-08-01,2000,192.87
2018-09-20,100,266.09
2018-09-20,500,252.43
2018-09-20,1000,180.4
2018-09-20,1500,94.54
2018-09-20,2000,51.31
2018-09-20,2500,6.2
2018-09-20,1450,
2018-10-18,100,307.91
2018-10-18,500,288.58
2018-10-18,1000,228.3
2018-10-18,1500,181.17
2018-10-18,2000,191.8
2018-10-18,2500,194.19
2018-11-13,100,297.99
2018-11-13,500,294.41
2018-11-13,1000,279.51
2018-11-13,1500,261.97
2018-11-13,2000,246.99
2018-11-13,2500,222.82
2018-12-12,100,337.45
2018-12-12,500,337.84
2018-12-12,1000,337.78
2018-12-12,1500,334.7
2018-12-12,2000,315.22
2018-12-12,2500,289.64
2019-01-08,0,
2019-02-26,100,400.29
2019-02-26,500,387.24
2019-02-26,1000,354.67
2019-02-26,1500,338.94
2019-02-26,2000,282.45
2019-02-26,2500,249.83
2019-03-20,100,367.41
2019-03-20,500,367.07
2019-03-20,1000,355.73
2019-03-20,1500,346.7
2019-03-20,2000,324.31
2019-03-20,2500,276.28
2019-04-24,100,342.56
2019-04-24,500,344.36
2019-04-24,1000,343.56
2019-04-24,1500,345.11
2019-04-24,2000,325.63
2019-04-24,2500,197.27
2019-05-28,100,326.49
2019-05-28,500,326.7
2019-05-28,1000,313.12
2019-05-28,1500,258.57
2019-05-28,2000,200.41
2019-05-28,2500,149.1
2019-06-26,100,304.83
2019-06-26,500,293.62
2019-06-26,1000,260.03
2019-06-26,1500,250.31
2019-06-26,2000,150.65
2019-06-26,2500,116.48
2019-07-31,100,269.6
2019-07-31,500,264.23
2019-07-31,1000,261.54
2019-07-31,1500,227.51
2019-07-31,2000,84.07
2019-07-31,2500,46.35
2019-08-27,100,274.58
2019-08-27,500,247.04
2019-08-27,1000,145.47
2019-08-27,1500,54.73
2019-08-27,2000,74.23
2019-08-27,2500,36.6
1999-01-26,100,363.6
1999-01-26,500,364.4
1999-01-26,1000,345.1
1999-01-26,1500,336.2
1999-01-26,2000,325.9
1999-01-26,2500,276.0
1999-02-12,100,375.7
1999-02-12,500,374.0
1999-02-12,1000,372.3
1999-02-12,1500,367.1
1999-02-12,2000,346.4
1999-02-12,2500,322.7
1999-03-25,100,420.0
1999-03-25,500,421.3
1999-03-25,1000,424.8
1999-03-25,1500,417.6
1999-03-25,2000,412.2
1999-03-25,2500,258.5
1999-04-27,100,355.2
1999-04-27,500,355.3
1999-04-27,1000,364.7
1999-04-27,1500,309.2
1999-04-27,2000,242.4
1999-04-27,2500,190.8
1999-05-25,100,333.2
1999-05-25,500,333.6
1999-05-25,1000,317.8
1999-05-25,1500,306.8
1999-05-25,2000,284.0
1999-05-25,2500,103.1
1999-06-17,100,306.2
1999-06-17,500,309.6
1999-06-17,1000,322.9
1999-06-17,1500,316.8
1999-06-17,2000,166.4
1999-06-17,2500,143.2
1999-07-15,100,290.0
1999-07-15,500,291.2
1999-07-15,1000,304.6
1999-07-15,1500,311.0
1999-07-15,2000,160.3
1999-07-15,2500,84.2
1999-08-17,100,279.9
1999-08-17,500,278.1
1999-08-17,1000,238.5
1999-08-17,1500,195.2
1999-08-17,2000,90.6
1999-08-17,2500,26.7
1999-09-17,100,266.7
1999-09-17,500,269.0
1999-09-17,1000,254.7
1999-09-17,1500,157.7
1999-09-17,2000,104.0
1999-09-17,2500,6.1
1999-10-18,100,305.3
1999-10-18,500,303.8
1999-10-18,1000,249.6
1999-10-18,1500,91.7
1999-10-18,2000,118.9
1999-10-18,2500,101.6
1999-11-16,100,317.8
1999-11-16,500,319.8
1999-11-16,1000,313.6
1999-11-16,1500,309.7
1999-11-16,2000,268.0
1999-11-16,2500,151.5
1999-12-15,100,316.7
1999-12-15,500,320.5
1999-12-15,1000,319.4
1999-12-15,1500,317.1
1999-12-15,2000,313.7
1999-12-15,2500,281.4
2000-01-18,100,349.4
2000-01-18,500,351.8
2000-01-18,1000,347.1
2000-01-18,1500,346.3
2000-01-18,2000,345.4
2000-01-18,2500,345.7
2000-02-08,100,347.0
2000-02-08,500,352.9
2000-02-08,1000,0.0
2000-02-08,1500,341.3
2000-02-08,2000,348.1
2000-02-08,2500,349.3
2000-03-15,100,360.3
2000-03-15,500,358.3
2000-03-15,1000,358.5
2000-03-15,1500,357.7
2000-03-15,2000,320.1
2000-03-15,2500,327.1
2000-04-17,100,364.5
2000-04-17,500,371.1
2000-04-17,1000,376.4
2000-04-17,1500,340.0
2000-04-17,2000,317.2
2000-04-17,2500,306.5
2000-05-17,100,324.7
2000-05-17,500,328.4
2000-05-17,1000,360.2
2000-05-17,1500,385.2
2000-05-17,2000,250.0
2000-05-17,2500,200.1
2000-06-28,100,291.3
2000-06-28,500,290.1
2000-06-28,1000,288.1
2000-06-28,1500,262.9
2000-06-28,2000,204.4
2000-06-28,2500,131.9
2000-07-12,100,294.0
2000-07-12,500,286.7
2000-07-12,1000,185.0
2000-07-12,1500,152.2
2000-07-12,2000,130.7
2000-07-12,2500,71.9
2000-08-08,100,287.3
2000-08-08,500,287.7
2000-08-08,1000,270.0
2000-08-08,1500,198.6
2000-08-08,2000,106.2
2000-08-08,2500,28.5
2000-09-27,100,290.6
2000-09-27,500,285.4
2000-09-27,1000,282.5
2000-09-27,1500,270.4
2000-09-27,2000,258.9
2000-09-27,2500,17.2
2000-10-24,100,280.8
2000-10-24,500,283.6
2000-10-24,1000,279.9
2000-10-24,1500,259.3
2000-10-24,2000,129.0
2000-10-24,2500,37.0
2000-11-28,100,296.0
2000-11-28,500,298.6
2000-11-28,1000,292.4
2000-11-28,1500,294.7
2000-11-28,2000,286.5
2000-11-28,2500,129.9
2000-12-18,100,316.8
2000-12-18,500,318.8
2000-12-18,1000,293.2
2000-12-18,1500,282.7
2000-12-18,2000,282.0
2000-12-18,2500,258.5
2001-01-16,100,360.0
2001-01-16,500,360.8
2001-01-16,1000,356.3
2001-01-16,1500,345.6
2001-01-16,2000,274.0
2001-01-16,2500,209.2
2001-02-15,100,389.8
2001-02-15,500,391.0
2001-02-15,1000,380.4
2001-02-15,1500,369.5
2001-02-15,2000,346.1
2001-02-15,2500,297.3
2001-03-13,100,380.7
2001-03-13,500,382.6
2001-03-13,1000,373.8
2001-03-13,1500,343.9
2001-03-13,2000,296.1
2001-03-13,2500,290.5
2001-04-18,100,372.1
2001-04-18,500,374.8
2001-04-18,1000,372.0
2001-04-18,1500,371.5
2001-04-18,2000,357.7
2001-04-18,2500,164.3
2001-05-31,100,311.9
2001-05-31,500,313.9
2001-05-31,1000,312.7
2001-05-31,1500,304.5
2001-05-31,2000,193.5
2001-05-31,2500,153.6
2001-06-28,100,311.0
2001-06-28,500,314.7
2001-06-28,1000,280.4
2001-06-28,1500,174.6
2001-06-28,2000,167.1
2001-06-28,2500,98.4
2001-07-11,100,288.9
2001-07-11,500,293.2
2001-07-11,1000,274.6
2001-07-11,1500,249.0
2001-07-11,2000,164.1
2001-07-11,2500,71.5
2001-08-09,100,109.1
2001-08-09,500,103.5
2001-08-09,1000,76.7
2001-08-09,1500,67.2
2001-08-09,2000,49.6
2001-08-09,2500,45.2
2001-09-10,100,280.9
2001-09-10,500,286.4
2001-09-10,1000,278.8
2001-09-10,1500,271.1
2001-09-10,2000,114.5
2001-09-10,2500,5.1
2001-10-16,100,309.5
2001-10-16,500,294.1
2001-10-16,1000,292.1
2001-10-16,1500,271.3
2001-10-16,2000,208.9
2001-10-16,2500,1.7
2001-11-06,100,294.9
2001-11-06,500,295.8
2001-11-06,1000,292.9
2001-11-06,1500,289.3
2001-11-06,2000,209.8
2001-11-06,2500,10.3
2001-12-13,100,357.8
2001-12-13,500,360.4
2001-12-13,1000,352.4
2001-12-13,1500,325.6
2001-12-13,2000,274.2
2001-12-13,2500,174.5
2002-01-08,100,376.9
2002-01-08,500,373.6
2002-01-08,1000,367.4
2002-01-08,1500,338.8
2002-01-08,2000,274.8
2002-01-08,2500,162.6
2002-02-21,100,349.2
2002-02-21,500,349.7
2002-02-21,1000,348.2
2002-02-21,1500,348.0
2002-02-21,2000,347.0
2002-02-21,2500,310.4
2002-03-11,100,358.1
2002-03-11,500,356.9
2002-03-11,1000,356.4
2002-03-11,1500,356.1
2002-03-11,2000,356.1
2002-03-11,2500,344.4
2002-04-10,100,383.2
2002-04-10,500,384.7
2002-04-10,1000,384.6
2002-04-10,1500,382.1
2002-04-10,2000,368.8
2002-04-10,2500,292.7
2002-05-21,100,334.1
2002-05-21,500,337.1
2002-05-21,1000,332.1
2002-05-21,1500,306.6
2002-05-21,2000,181.5
2002-05-21,2500,130.4
2002-06-18,100,291.7
2002-06-18,500,294.5
2002-06-18,1000,282.9
2002-06-18,1500,219.2
2002-06-18,2000,129.2
2002-06-18,2500,121.7
2002-07-09,100,300.5
2002-07-09,500,212.1
2002-07-09,1000,227.4
2002-07-09,1500,228.2
2002-07-09,2000,176.3
2002-07-09,2500,143.8
2002-08-20,100,275.9
2002-08-20,500,276.2
2002-08-20,1000,259.2
2002-08-20,1500,215.8
2002-08-20,2000,70.9
2002-08-20,2500,10.4
2002-09-17,100,267.9
2002-09-17,500,270.7
2002-09-17,1000,169.1
2002-09-17,1500,258.3
2002-09-17,2000,22.8
2002-09-17,2500,0.0
2002-10-15,100,294.2
2002-10-15,500,296.2
2002-10-15,1000,264.7
2002-10-15,1500,160.7
2002-10-15,2000,26.2
2002-10-15,2500,0.0
2002-11-19,100,326.2
2002-11-19,500,330.8
2002-11-19,1000,332.7
2002-11-19,1500,326.7
2002-11-19,2000,151.4
2002-11-19,2500,131.5
2002-12-17,100,357.8
2002-12-17,500,357.5
2002-12-17,1000,357.1
2002-12-17,1500,357.6
2002-12-17,2000,356.9
2002-12-17,2500,356.3
2003-01-23,100,379.3
2003-01-23,500,354.0
2003-01-23,1000,349.1
2003-01-23,1500,342.9
2003-01-23,2000,343.5
2003-01-23,2500,332.0
2003-02-18,100,463.7
2003-02-18,500,465.5
2003-02-18,1000,441.8
2003-02-18,1500,384.4
2003-02-18,2000,338.6
2003-02-18,2500,297.9
2003-03-11,100,419.9
2003-03-11,500,420.7
2003-03-11,1000,420.9
2003-03-11,1500,424.7
2003-03-11,2000,365.8
2003-03-11,2500,223.9
2003-04-24,100,359.9
2003-04-24,500,361.3
2003-04-24,1000,358.3
2003-04-24,1500,351.1
2003-04-24,2000,286.3
2003-04-24,2500,233.7
2003-05-13,100,335.8
2003-05-13,500,337.1
2003-05-13,1000,342.5
2003-05-13,1500,318.5
2003-05-13,2000,217.1
2003-05-13,2500,176.4
2003-06-17,100,294.5
2003-06-17,500,294.8
2003-06-17,1000,317.0
2003-06-17,1500,234.6
2003-06-17,2000,199.7
2003-06-17,2500,179.7
2003-07-15,100,280.5
2003-07-15,500,285.9
